범위,이벤트,모델,τ,변수,β,SE,p,n,유효n,BW,방법
이벤트별,이스라엘-하마스,SP500+GPR,0.05,GPR_custom_z,-0.00246,0.00678,0.717,262,13.1,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.1,SP500_z,0.00867,0.00329,0.009,262,26.2,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.1,GPR_custom_z,0.00131,0.00461,0.7768,262,26.2,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.2,SP500_z,0.00836,0.00256,0.0012,262,52.4,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.2,GPR_custom_z,-0.00087,0.00348,0.8037,262,52.4,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.25,SP500_z,0.00721,0.00241,0.003,262,65.5,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.25,GPR_custom_z,8e-05,0.00302,0.9784,262,65.5,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.5,SP500_z,0.00866,0.00216,0.0001,262,131.0,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.5,GPR_custom_z,0.00094,0.00201,0.6397,262,131.0,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.75,SP500_z,0.0085,0.00247,0.0007,262,196.5,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.75,GPR_custom_z,0.00313,0.00244,0.1992,262,196.5,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.9,SP500_z,0.00514,0.0038,0.1769,262,235.8,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.9,GPR_custom_z,0.00605,0.00504,0.2312,262,235.8,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.95,SP500_z,-0.00217,0.00589,0.7127,262,248.9,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.95,GPR_custom_z,0.0047,0.00771,0.5431,262,248.9,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.01,Gold_z,0.00957,0.00764,0.2113,262,2.6,4,HAC(bw=4)
